80:0.0, D5, NaN, NaN, Rest
80:0.003906000000000631, NaN, Rest, NaN, NaN
80:0.007812000000001262, NaN, G3, NaN, NaN
80:0.25, A4, NaN, NaN, NaN
80:0.5, B-4, NaN, NaN, NaN
80:0.75, C#5, NaN, NaN, NaN
80:1.0, D5, NaN, NaN, Rest
80:1.0039060000000006, NaN, NaN, E4, NaN
80:1.25, E5, NaN, NaN, NaN
80:1.5, F5, NaN, NaN, NaN
80:1.75, E5, NaN, NaN, NaN
80:2.0, D5, NaN, NaN, Rest
80:2.0039060000000006, NaN, NaN, D4, NaN
80:2.25, A4, NaN, NaN, A2
80:2.5, B-4, NaN, NaN, B2
80:2.75, C#5, NaN, NaN, C#3
81:0.0, D5, NaN, NaN, D3
81:0.003906000000000631, NaN, NaN, C4, NaN
81:0.007812000000001262, NaN, A-3, NaN, NaN
81:0.25, E5, NaN, NaN, E3
81:0.5, F5, NaN, NaN, F3
81:0.75, G5, NaN, NaN, G3
81:1.0, A5, NaN, NaN, A3
81:1.0039060000000006, NaN, NaN, E4, NaN
81:1.25, G5, NaN, NaN, G3
81:1.5, F5, NaN, NaN, F3
81:1.75, E5, NaN, NaN, E3
81:2.0, D5, NaN, NaN, D3
81:2.25, C5, NaN, NaN, C3
81:2.5, B4, NaN, NaN, B2
81:2.5039060000000006, NaN, NaN, D4, NaN
81:2.75, A4, NaN, NaN, A2
82:0.0, G4, NaN, NaN, G2
82:0.003906000000000631, NaN, NaN, D4, NaN
82:0.007812000000001262, NaN, A3, NaN, NaN
82:0.5039060000000006, NaN, NaN, B3, NaN
82:1.0039060000000006, NaN, NaN, B3, NaN
82:1.5, NaN, NaN, NaN, A2
82:1.5039060000000006, NaN, NaN, C4, NaN
82:1.75, NaN, NaN, NaN, B2
82:2.0, NaN, NaN, NaN, C3
82:2.0039060000000006, NaN, NaN, C4, NaN
82:2.0078120000000013, NaN, A3, NaN, NaN
82:2.25, NaN, NaN, NaN, D3
82:2.5, NaN, NaN, NaN, E3
82:2.5039060000000006, NaN, NaN, F4, NaN
82:2.75, NaN, NaN, NaN, F#3
83:0.0, D5, NaN, NaN, G3
83:0.003906000000000631, NaN, NaN, F4, NaN
83:0.007812000000001262, NaN, A3, NaN, NaN
83:0.5, NaN, NaN, NaN, G3
83:0.5039060000000006, NaN, NaN, E4, NaN
83:1.0, NaN, NaN, NaN, G3
83:1.0039060000000006, NaN, NaN, E4, NaN
83:1.0078120000000013, NaN, D4, NaN, NaN
83:1.5, NaN, NaN, NaN, G3
83:1.5039060000000006, NaN, NaN, E5, NaN
83:2.0, NaN, NaN, NaN, G3
83:2.0039060000000006, NaN, NaN, E5, NaN
83:2.0078120000000013, NaN, B3, NaN, NaN
83:2.5, NaN, NaN, NaN, G3
83:2.5039060000000006, NaN, NaN, D5, NaN
84:0.0, C5, NaN, NaN, C3
84:0.003906000000000631, NaN, NaN, D5, NaN
84:0.007812000000001262, NaN, C4, NaN, NaN
84:0.5039060000000006, NaN, NaN, B4, NaN
84:0.5078120000000013, NaN, G3, NaN, NaN
84:1.0, C4, NaN, NaN, Rest
84:1.0039060000000006, NaN, NaN, B4, NaN
84:1.0078120000000013, NaN, G3, NaN, NaN
84:1.5078120000000013, NaN, G3, NaN, NaN
84:2.0, NaN, NaN, NaN, Rest
84:2.0039060000000006, NaN, NaN, Rest, NaN
84:2.0078120000000013, NaN, G3, NaN, NaN
84:2.5, B3, NaN, NaN, NaN
84:2.5078120000000013, NaN, G3, NaN, NaN
85:0.0, B3, NaN, NaN, Rest
85:0.003906000000000631, NaN, NaN, Rest, NaN
85:0.007812000000001262, NaN, G3, C4, NaN
